iter	Passed	Remaining
863	1146	180
864	1147	179
865	1148	177
866	1148	176
867	1149	174
868	1150	173
869	1152	172
870	1153	170
871	1153	169
872	1154	167
873	1155	166
874	1156	165
875	1157	163
876	1158	162
877	1158	161
878	1159	159
879	1160	158
880	1160	156
881	1161	155
882	1162	153
883	1162	152
884	1163	151
885	1164	149
886	1165	148
887	1166	147
888	1167	145
889	1168	144
890	1169	143
891	1169	141
892	1170	140
893	1171	138
894	1172	137
895	1172	136
896	1173	134
897	1174	133
898	1174	131
899	1175	130
900	1175	129
901	1176	127
902	1177	126
903	1177	125
904	1178	123
905	1179	122
906	1180	121
907	1181	119
908	1182	118
909	1183	117
910	1184	115
911	1184	114
912	1185	112
913	1186	111
914	1187	110
915	1188	108
916	1188	107
917	1189	106
918	1190	104
919	1190	103
920	1191	102
921	1192	100
922	1192	99
923	1193	98
924	1194	96
925	1194	95
926	1196	94
927	1197	92
928	1198	91
929	1199	90
930	1199	88
931	1200	87
932	1201	86
933	1202	84
934	1202	83
935	1203	82
936	1204	80
937	1204	79
938	1205	78
939	1206	76
940	1206	75
941	1207	74
942	1207	73
943	1208	71
944	1209	70
945	1209	69
946	1211	67
947	1212	66
948	1213	65
949	1213	63
950	1214	62
951	1214	61
952	1215	59
953	1216	58
954	1217	57
955	1217	56
956	1218	54
957	1219	53
958	1219	52
959	1220	50
960	1221	49
961	1221	48
962	1222	46
963	1223	45
964	1224	44
965	1225	43
966	1226	41
967	1227	40
968	1228	39
969	1229	38
970	1229	36
971	1230	35
972	1231	34
973	1231	32
974	1232	31
975	1233	30
976	1233	29
977	1234	27
978	1235	26
979	1235	25
980	1236	23
981	1238	22
982	1239	21
983	1242	20
984	1243	18
985	1244	17
986	1245	16
987	1246	15
988	1247	13
989	1248	12
990	1248	11
991	1249	10
992	1250	8
993	1250	7
994	1251	6
995	1251	5
996	1252	3
997	1253	2
998	1253	1
999	1254	0
